trial,trialTime,attackingPiece,attackingPosition,attackedPieces,responseTime,success,responsePosition
0,0.003,bB,e1,a5;h4,0.271,0,e5
1,0.477,wK,d6,d7;c6;e6,0.141,0,e5
2,0.823,wN,b1,a3;c3,0.148,0,e5
3,1.175,wR,d3,e3,0.14,0,e5
4,1.518,bR,c6,c4,0.157,0,e5
5,1.88,bN,g4,f6;e3,0.156,0,e5
6,2.239,bQ,h3,h7;f5,0.186,0,e5
7,2.629,bB,g1,d4,0.156,0,e5
8,2.989,bP,b7,a6,0.164,0,e5
9,3.357,bN,g7,e8;h5,0.203,0,e5
10,3.764,bB,a6,b7;f1,0.176,0,e5
11,4.144,wP,e5,f6,0.157,0,e5
12,4.505,bR,h6,h7,0.171,0,e5
13,4.881,bQ,c4,a4;g4,0.163,0,e5
14,5.247,bP,f7,e6,0.171,0,e5
15,5.623,wQ,h2,h3;g2,0.185,0,e5
16,6.011,wP,a3,b4,0.135,0,e5
17,6.349,wQ,b8,h8;e5,0.164,1,e5
18,6.716,wR,d3,d8;c3,0.18,0,e5
19,7.099,bP,f7,,0.187,0,e5
20,7.49,bQ,e3,e7;b3;f3;e2,0.178,0,e5
21,7.872,wN,b8,c6,0.156,0,e5
22,8.231,wR,h4,b4;h2,0.165,0,e5
23,8.6,bR,e8,b8;e1,0.186,0,e5
24,8.991,wQ,h6,,0.14,0,e5
25,9.334,bN,a4,b2,0.172,0,e5
26,9.71,bP,c2,,0.147,0,e5
27,10.061,bQ,e7,e5;b4,0.179,1,e5
28,10.444,wP,g7,,0.12,0,e5
29,10.768,wQ,a3,c5,0.155,0,e5
30,11.127,wN,g2,h4;e3,0.118,0,e5
31,11.45,bP,g4,f3,0.164,0,e5
32,11.818,wR,h7,h8;e7,0.148,0,e5
33,12.17,wN,b5,d4,0.171,0,e5
34,12.545,wQ,e7,e4,0.178,0,e5
35,12.927,bB,e1,h4,0.163,0,e5
36,13.295,wR,d1,e1,0.171,0,e5
37,13.67,wB,e2,d3,0.184,0,e5
38,14.059,bK,e3,d4,0.187,0,e5
39,14.449,wP,a6,b7,0.187,0,e5
40,14.839,bB,b8,c7,0.186,0,e5
41,15.228,wP,h6,,0.172,0,e5
42,15.605,wP,d2,,0.201,0,e5
43,16.01,wB,c1,f4,0.119,0,e5
44,16.333,bR,e4,f4,0.154,0,e5
45,16.69,wK,g8,f7;g7,0.169,0,e5
46,17.061,wR,d4,d5;c4;f4,0.155,0,e5
47,17.419,wQ,d7,c8;h7;d5,0.175,0,e5
48,17.796,bP,g5,,0.171,0,e5
49,18.171,wQ,f5,f6;c2,0.177,0,e5
50,18.552,bP,g5,f6;f4,0.172,0,e5
51,18.927,wQ,d2,d4;g2,0.173,0,e5
52,19.303,bB,h3,f1,0.193,0,e5
53,19.699,bP,f5,,0.194,0,e5
